loan_id,funded_amount,funded_date,duration_years,duration_months,_10_yr_treasury_index_date_funded,interest_rate_percent,interest_rate,payments,total_past_payments,loan_balance,property_value,purpose,firstname,middlename,lastname,social,phone,title,employment_length,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BUILDING_CLASS_AT_PRESENT,ADDRESS_1,ADDRESS_2,ZIP_CODE,CITY,STATE,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,TAX_CLASS_AT_TIME_OF_SALE
LL0000073,1490000,2013-12-12,30,360,2.8900001049041748,4.4889998435974121,0.04489000141620636,7539.8798828125,72,947128.9375,1780550,home,Guadalupe,Emelia,Sweeney,116-58-1688,629-361-5033,Anesthesiologist,3,03 THREE FAMILY DWELLINGS                  ,1,C0,116 28TH AVENUE,2,10155,New York City,NY,3,2352,2500,1
LL0000074,1600000,2014-06-13,30,360,2.5999999046325684,4.1979999542236328,4.1979998350143433E-2,7822.41015625,66,1083721.125,1821400,commerical property,Colette,Lauryn,Weiss,108-51-7742,754-668-3377,Branch Manager,9,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,96 LEFFERTS PLACE,4,10129,New York City,NY,1,0,0,2
LL0000075,1200000,2017-07-06,15,180,2.3659000396728516,3.6649999618530273,3.6649998277425766E-2,8676.150390625,29,948391.5625,1245450,commerical property,Leland,Aden,Koch,571-74-4370,983-089-6141,Pilot/Captain,3,04 TAX CLASS 1 CONDOS                      ,1A,R3,20 ABINGDON AVENUE,20,10001,New York City,NY,1,,,1
LL0000076,790000,2012-04-27,20,240,1.9600000381469727,3.3589999675750732,3.3590000122785568E-2,4524.64990234375,92,373732.1875,930250,boat,Devin,Knox,Walters,972-69-4236,542-843-5089,Vice President Global Field Services,6,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,171 SOUTH 9TH   STREET,9,10001,New York City,NY,1,0,0,2
LL0000077,1630000,2015-07-26,15,180,2.2699999809265137,3.5680000782012939,3.5679999738931656E-2,11707.08984375,53,1009524.125,1711000,plane,Vincent,Corbin,Bowser,436-47-6130,363-093-8428,Senior Scrum Master,14,14 RENTALS - 4-10 UNIT                     ,2A,S9,57 4TH AVENUE,3,10009,New York City,NY,5,1573,4526,2
LL0000078,5313000,2013-07-24,30,360,2.6099998950958252,4.2049999237060547,0.04205000028014183,25996.990234375,77,3311231.75,5430600,home,Clayton,Griffin,Cabrera,411-70-9247,756-454-8345,OWNER,5,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,17 EAST 12TH   STREET,5,10155,New York City,NY,1,,,2
LL0000079,1416000,2013-06-21,30,360,2.5199999809265137,4.1189999580383301,4.1189998388290405E-2,6857.7099609375,78,881099,1535250,home,Noah,Jackson,Daniel,543-65-4945,785-352-7957,LOAN ORIGINATOR,2,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,132 EAST 52ND   STREET,6,10045,New York City,NY,6,3000,5670,2
LL0000080,5940000,2012-09-14,30,360,1.8799999952316284,3.4739999771118164,0.03474000096321106,26587.119140625,87,3626920.5,6133250,commerical property,Christian,Isaac,Lombardo,277-63-5491,476-925-9180,Claims Consultant,7,07 RENTALS - WALKUP APARTMENTS             ,2,C1,427 DEAN STREET,16,10119,New York City,NY,17,4808,16200,2
LL0000081,2280000,2016-11-13,30,360,2.1500999927520752,3.747999906539917,3.7480000406503677E-2,10556.4501953125,37,1889411.375,2337200,commerical property,Eli,Hunter,Sotelo,571-51-5458,372-602-1436,Vice President ,2,02 TWO FAMILY DWELLINGS                    ,1,B1,633 CARROLL STREET,4,10158,New York City,NY,2,1733,2430,1
LL0000082,1420000,2014-10-13,30,360,2.309999942779541,3.9089999198913574,3.9090000092983246E-2,6705.009765625,62,1004289.25,1635300,commerical property,Kevin,Evan,Estrada,766-52-2335,930-584-8018,Attorney,7,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,137 DUPONT STREET,2,10101,New York City,NY,1,0,0,2
LL0000083,819000,2019-10-04,30,360,1.5199999809265137,3.1189999580383301,3.1190000474452972E-2,3505.719970703125,2,811988.5625,823450,home,Alexander,William,Rodriguez,766-62-8469,958-305-9709,Financial Advisor,9,44 CONDO PARKING                           ,4,RG,9718 FT HAMILTON PARKWAY,21,10036,New York City,NY,1,0,0,4
LL0000084,1570000,2012-03-17,30,360,2.309999942779541,3.9079999923706055,3.9080001413822174E-2,7412.39013671875,93,880647.875,1832300,commerical property,Skye,Blake,Oconnor,128-39-2307,667-372-8904,Nurse anesthetist ,9,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,130 WEST 79TH   STREET,10C,10106,New York City,NY,1,,,2
LL0000085,440000,2014-07-26,30,360,2.4800000190734863,4.0799999237060547,4.0800001472234726E-2,2120.969970703125,65,302136.875,719250,investment property,Samantha,Abigail,Nelson,233-51-2624,344-542-6297,Deputy Sheriff,15,07 RENTALS - WALKUP APARTMENTS             ,2,C7,835 CLARKSON AVENUE,25,10023,New York City,NY,27,8000,26536,2
LL0000086,1700000,2018-06-14,30,360,2.940000057220459,4.5380001068115234,4.5380000025033951E-2,8652.080078125,18,1544262.625,1728300,commerical property,Izabella,Jacqueline,Obrien,680-93-2685,428-550-5529,Physician ,13,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,189 SCHERMERHORN STREET,11F,10029,New York City,NY,1,0,0,2
LL0000087,1620000,2018-08-18,30,360,2.869999885559082,4.4679999351501465,4.4679999351501465E-2,8177.52978515625,16,1489159.5,1705050,home,Jensen,Derrick,Brown,640-76-2198,777-395-6038,VP Product Development,1,04 TAX CLASS 1 CONDOS                      ,1C,R6,67 JEFFERSON AVENUE,3,10032,New York City,NY,1,0,0,1
LL0000088,1840000,2016-02-20,30,360,1.7599999904632568,3.3580000400543213,3.3580001443624496E-2,8117.27001953125,46,1466605.75,1910550,home,Emilio,Corey,Bales,977-93-4448,812-268-9692,Physician,10,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,1122 41ST   STREET,3,10260,New York City,NY,1,0,0,2
LL0000089,1290000,2012-12-10,30,360,1.6299999952316284,3.2290000915527344,3.2290000468492508E-2,5599.2998046875,84,819658.4375,1598900,investment property,Maria,Harper,Kim,846-11-8404,900-421-9713,Manager,7,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,1241 42ND   STREET,6,10111,New York City,NY,1,0,0,2
LL0000090,790000,2012-07-20,30,360,1.4900000095367432,3.0889999866485596,3.0889999121427536E-2,3368.7099609375,89,490184.6875,986050,home,Allie,Ruth,Burton,149-80-0822,511-103-1794,shareholder,10,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,396 MANHATTAN AVENUE,5,10123,New York City,NY,4,1875,3750,2
LL0000091,1020500,2018-07-16,30,360,2.8499999046325684,4.4489998817443848,4.4489998370409012E-2,5139.85009765625,17,933122.625,1167200,investment property,Audrey,Ava,Green,785-30-9956,401-185-3043,Director of Field Services ,18,44 CONDO PARKING                           ,4,RG,75 OCEANA DRIVE EAST,4,10038,New York City,NY,1,0,0,4
LL0000092,1850000,2012-05-02,30,360,1.9600000381469727,3.5580000877380371,3.5580001771450043E-2,8367.33984375,91,1088572.25,2110000,commerical property,Edwin,Remington,Boone,657-07-8048,436-458-7125,Senior Vice President,9,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,144 RALPH AVENUE,5,10121,New York City,NY,5,2500,4875,2
LL0000093,1536000,2013-10-09,30,360,2.6800000667572021,4.2789998054504395,0.04278000071644783,7581.39990234375,74,974976.6875,1709750,commerical property,Olivia,Elizabeth,Foley,717-05-0504,572-078-3167,originator,12,04 TAX CLASS 1 CONDOS                      ,1C,R6,171 GREENE AVENUE,2,10165,New York City,NY,1,0,0,1
LL0000094,500000,2013-09-09,30,360,2.9000000953674316,4.5,4.5000001788139343E-2,2533.429931640625,75,309993,795250,investment property,Amy,Genevieve,Palmer,407-69-2481,889-252-6413,Director,8,44 CONDO PARKING                           ,4,RP,115 96TH   STREET,6,10105,New York City,NY,1,0,0,4
LL0000095,2220000,2017-02-20,30,360,2.4147000312805176,4.0130000114440918,4.0119998157024384E-2,10613.98046875,34,1859124.5,2392250,commerical property,Nevaeh,Olivia,Howard,713-01-3581,347-826-6524,Chairman of advisory board,2,46 CONDO STORE BUILDINGS                   ,4,RK,61 GREEN STREET,18,10019,New York City,NY,1,0,0,4
LL0000096,1800000,2017-08-11,30,360,2.1888000965118408,3.7869999408721924,3.7870001047849655E-2,8373.919921875,28,1565530.375,1903650,investment property,Kenna,Elizabeth,Johnson,143-52-7190,657-718-8599,Physician and Surgeon,15,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,96 LEFFERTS PLACE,1,10112,New York City,NY,1,0,0,2
LL0000097,3240000,2018-06-05,10,120,2.9200000762939453,4.1170001029968262,4.1170001029968262E-2,32983.890625,18,2646290,3268750,plane,Andrew,Dylan,Young,752-85-9325,477-899-6661,SR VP National Operations,7,04 TAX CLASS 1 CONDOS                      ,1A,R3,1551 59TH STREET,3,10156,New York City,NY,1,0,0,1
LL0000098,1900000,2018-09-26,30,360,3.059999942779541,4.6579999923706055,4.6580001711845398E-2,9806.2099609375,15,1752906.875,1923100,home,Angelica,Giuliana,Blake,253-11-5883,991-386-8751,Dentist,2,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,500 4 AVENUE,11F,10122,New York City,NY,1,0,0,2
LL0000099,1740000,2013-11-12,30,360,2.7999999523162842,4.3979997634887695,4.3979998677968979E-2,8711.1796875,73,1104083.5,1852050,commerical property,James,Max,Hsu,517-03-9195,592-394-2235,CPA Owner,5,04 TAX CLASS 1 CONDOS                      ,1A,R3,1262 51ST   STREET,3,10037,New York City,NY,1,0,0,1
LL0000100,741000,2012-01-21,30,360,2.0499999523162842,3.6489999294281006,3.6490000784397125E-2,3389.360107421875,95,419011.03125,886100,commerical property,Corbin,Jett,Carrier,897-19-3692,239-709-9606,Sales Manager,16,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,1058 HERKIMER ST,6,10023,New York City,NY,4,1963,3600,2
LL0000101,1730000,2018-09-18,30,360,3.0499999523162842,4.6479997634887695,4.6480000019073486E-2,8918.4404296875,15,1596223.375,1933500,home,Jax,Nicolas,Salinas,131-07-3114,648-171-1698,Sales Consultant,4,04 TAX CLASS 1 CONDOS                      ,1C,R6,382 BERGEN STREET,2,10034,New York City,NY,1,0,0,1
LL0000102,1560000,2014-04-27,15,180,2.6800000667572021,3.9779999256134033,3.9779998362064362E-2,11521.9404296875,68,776508.0625,1783750,commerical property,Holden,Andre,Monroe,819-67-2701,433-590-7418,Partner,12,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,129 COLUMBIA STREET,7,10178,New York City,NY,4,2048,4000,2
LL0000103,704000,2016-04-02,30,360,1.7899999618530273,3.3889999389648438,3.3890001475811005E-2,3117.820068359375,44,566816.125,952450,commerical property,Micah,Blake,Brower,163-00-6017,653-532-3906,Vice President ,7,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,37 FROST STREET,6,10159,New York City,NY,6,2500,4125,2
LL0000104,1410000,2015-02-28,15,180,2,3.2990000247955322,3.2990001142024994E-2,9941.240234375,58,833407.875,1618400,home,Mallory,Carolina,Mclaughlin,339-86-8592,631-846-7754,Radiologist,5,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,2475 OCEAN AVENUE,4,10016,New York City,NY,1,0,0,2
LL0000105,760500,2018-03-20,30,360,2.8900001049041748,4.4889998435974121,0.04489000141620636,3848.3701171875,21,679684.1875,913100,home,Asher,Jose,Price,781-40-7588,840-334-8420,Area Manager,11,07 RENTALS - WALKUP APARTMENTS             ,2B,C1,680 UNION STREET,7,10159,New York City,NY,10,2000,6500,2
LL0000106,830000,2018-02-01,15,180,2.7799999713897705,4.0789999961853027,4.0789999067783356E-2,6172.31982421875,23,688036.625,1044950,home,Wyatt,Gabriel,Farrell,353-44-8025,870-628-5913,Owner,15,07 RENTALS - WALKUP APARTMENTS             ,2,C1,350 BEDFORD AVENUE,16,10018,New York City,NY,16,2898,8400,2
LL0000107,4158000,2013-09-04,15,180,2.9000000953674316,4.1960000991821289,4.1960000991821289E-2,31166.220703125,75,1820533.625,4393500,investment property,Aliza,Amelia,Smith,672-51-7931,570-815-4978,Manager,12,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,58 WALKER STREET,5,10007,New York City,NY,1,,,2
LL0000108,1600000,2017-03-16,30,360,2.5401999950408936,4.1389999389648438,4.1390001773834229E-2,7767.419921875,33,1343675.25,1651050,commerical property,Elsa,Charley,Flynn,846-71-3765,504-086-5423,Pilot,11,02 TWO FAMILY DWELLINGS                    ,1,B3,291A COOPER STREET,2,10121,New York City,NY,2,1667,1368,1
LL0000109,3240000,2018-12-22,30,360,2.7899999618530273,4.3870000839233398,4.3869998306035995E-2,16199.7802734375,12,3045602.5,3438750,home,Rhett,Josue,Lucas,270-27-8597,567-324-8106,Financial Advisor,5,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,81 WARREN STREET,3,10282,New York City,NY,4,2496,2960,2
LL0000110,2136000,2013-03-06,30,360,1.9500000476837158,3.5480000972747803,3.5480000078678131E-2,9648.919921875,81,1354437.625,2320600,investment property,Greyson,Theodore,Shipman,721-11-0473,349-808-2004,Branch Manager / Loan officer,9,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,260 PARK AVENUE SOUTH,10I,10039,New York City,NY,1,,,2
LL0000111,1380000,2012-02-14,20,240,1.9199999570846558,3.3190000057220459,3.3190000802278519E-2,7875.68994140625,94,639685.25,1643900,plane,Gideon,Ali,Holt,564-30-2368,369-469-3726,Director of Sales,6,07 RENTALS - WALKUP APARTMENTS             ,2,C1,8687 BAY PARKWAY,16,10161,New York City,NY,16,4850,15360,2
LL0000112,2220000,2012-03-10,30,360,2.0399999618530273,3.6380000114440918,3.6380000412464142E-2,10140.58984375,93,1276925.125,2482650,home,Roberto,Frank,Klein,499-08-9813,871-500-1647,Associate Attorney,11,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,33 RECTOR STREET,4,10259,New York City,NY,1,,,2
LL0000113,492000,2017-12-17,30,360,2.3499999046325684,3.9500000476837158,3.9500001817941666E-2,2334.719970703125,24,435966.625,649250,home,Liam,Maxwell,Dupree,779-09-9836,817-950-0731,National Account manager ,13,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,183 RUTLEDGE STREET,2,10033,New York City,NY,1,0,0,2
LL0000114,5148000,2013-01-24,30,360,1.8799999952316284,3.4749999046325684,3.4749999642372131E-2,23045.0390625,83,3235261.75,5274650,investment property,Elijah,Brooks,Franklin,632-89-5169,667-513-6675,Svp,15,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,123 SULLIVAN STREET,6,10169,New York City,NY,1,,,2
LL0000115,3288000,2012-12-26,30,360,1.7699999809265137,3.3670001029968262,3.3670000731945038E-2,14521.5703125,84,2068188.375,3536100,home,Cooper,Brian,Bliss,374-32-6057,835-518-7285,Conductor,14,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,225 EAST 81ST STREET,5,10027,New York City,NY,1,,,2
LL0000116,2052000,2013-03-20,30,360,1.9600000381469727,3.5580000877380371,3.5580001771450043E-2,9280.9599609375,81,1300242.125,2235900,investment property,Caiden,Jensen,Batista,878-32-9101,323-148-7636,Vice President,10,04 TAX CLASS 1 CONDOS                      ,1C,R6,814 DEAN STREET,1,10105,New York City,NY,1,0,0,1
LL0000117,1300000,2015-06-27,30,360,2.4900000095367432,4.0890002250671387,4.0890000760555267E-2,6273.2900390625,54,961242.5625,1382450,home,Morgan,Emily,Bryant,163-08-9108,755-547-0272,Counsel,14,04 TAX CLASS 1 CONDOS                      ,1A,R3,1409 ROYCE STREET,14,10012,New York City,NY,1,0,0,1
LL0000118,2232000,2016-11-15,30,360,2.2188999652862549,3.8169999122619629,3.8169998675584793E-2,10421.7802734375,37,1846394.125,2409100,commerical property,David,Giovanni,Valentin,129-22-1892,451-024-6753,President/Counsel,15,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,93 CROSBY STREET,2,10278,New York City,NY,1,,,2
LL0000119,1632000,2012-08-21,15,180,1.7999999523162842,3.0980000495910645,3.0980000272393227E-2,11347.3701171875,88,633431.25,1886450,commerical property,Melissa,Elaina,Garrett,322-32-4773,742-160-7246,Wealth Advisor,3,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,2112 REGENT PLACE,12,10159,New York City,NY,6,2700,6318,2
LL0000120,1524000,2018-11-06,30,360,3.2200000286102295,4.8189997673034668,4.8179998993873596E-2,8012.490234375,13,1419837.625,1545050,home,Vincent,Nathaniel,Patino,430-92-2341,836-146-6862,Director of Sales,7,04 TAX CLASS 1 CONDOS                      ,1C,R6,499 QUINCY STREET,3,10249,New York City,NY,1,0,0,1
LL0000121,1700000,2015-05-09,30,360,2.1600000858306885,3.7579998970031738,3.7579998373985291E-2,7880.68017578125,55,1266562.375,1904900,investment property,Emmanuel,Ivan,Malone,155-48-7905,740-862-1656,general manager,1,04 TAX CLASS 1 CONDOS                      ,1C,R6,201 HUNTINGTON STREET,2,10178,New York City,NY,1,0,0,1
LL0000122,1880000,2017-07-05,15,180,2.323199987411499,3.6210000514984131,3.6210000514984131E-2,13551.7802734375,29,1486998.375,2105500,commerical property,Riley,Anderson,Salcedo,571-13-8541,364-323-9937,Professor,4,04 TAX CLASS 1 CONDOS                      ,1C,R6,2068 FIFTH AVENUE,2,10108,New York City,NY,1,,,1
LL0000123,1130000,2013-10-15,30,360,2.75,4.3489999771118164,4.3490000069141388E-2,5624.60986328125,74,713779,1243450,commerical property,Hattie,Rosemary,Hogan,200-36-9308,738-968-9044,Real Estate Broker,12,04 TAX CLASS 1 CONDOS                      ,1A,R3,4 JUSTIN AVENUE,4,10040,New York City,NY,1,,,1
LL0000124,544000,2017-12-12,30,360,2.4000000953674316,,3.9990000426769257E-2,2596.830078125,24,481676.1875,641500,home,Brian,Tucker,Peters,187-83-4379,964-717-9575,Senior Managing Director,18,44 CONDO PARKING                           ,4,RP,9530 SCHENCK STREET,12,10019,New York City,NY,1,0,0,4
LL0000125,4128000,2014-08-22,30,360,2.4000000953674316,3.9960000514984131,3.9960000663995743E-2,19698.189453125,64,2867316.25,4285900,commerical property,Aleah,Jaylah,Wise,651-03-0325,205-894-9798,Regional Vice President,12,07 RENTALS - WALKUP APARTMENTS             ,2,C1,403 MACON STREET,16,10013,New York City,NY,16,4000,14240,2
LL0000126,1220000,2012-08-12,30,360,1.6499999761581421,3.249000072479248,3.2490000128746033E-2,5308.85009765625,88,752821.4375,1474900,investment property,Zachary,Ian,Craig,558-05-8868,511-372-6742,Real Estate Agent,12,04 TAX CLASS 1 CONDOS                      ,1C,R6,146 BAY 43RD   STREET,3,10279,New York City,NY,1,0,0,1
LL0000127,1280000,2014-07-06,15,180,2.6500000953674316,3.9489998817443848,3.9489999413490295E-2,9435.330078125,65,666703.875,1380250,investment property,Grayson,Jaxon,Evans,271-13-1532,388-680-1428,director,9,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,3030 WEST 32ND   STREET,4,10122,New York City,NY,1,0,0,2
LL0000128,476000,2019-07-22,30,360,2.0499999523162842,3.6500000953674316,3.6499999463558197E-2,2177.510009765625,5,465112.46875,604150,home,Jade,Willow,Owens,628-02-2994,479-746-4168,Software Engineer CTO,13,48 CONDO TERRACES/GARDENS/CABANAS          ,4,RT,100 MASPETH AVENUE,19,10037,New York City,NY,1,0,0,4
LL0000129,1440000,2013-02-14,30,360,2,3.5989999771118164,3.5989999771118164E-2,6546.080078125,82,903221.125,1685600,commerical property,Emmy,Isabella,Valencia,180-52-9418,804-010-1576,Teacher,1,04 TAX CLASS 1 CONDOS                      ,1A,R3,584 20TH   STREET,3,10169,New York City,NY,1,0,0,1
LL0000130,1400000,2017-12-06,30,360,2.3299999237060547,3.9289999008178711,3.9289999753236771E-2,6626.64013671875,24,1240960.75,1617800,commerical property,Benjamin,James,Sharp,642-61-4615,762-446-7790,Staff Anesthetist,15,07 RENTALS - WALKUP APARTMENTS             ,2A,C3,169 EAST 93RD STREET,4,10109,New York City,NY,4,2500,3400,2
LL0000131,1356000,2018-10-09,15,180,3.2100000381469727,4.5089998245239258,4.5090001076459885E-2,10379.5498046875,14,1210686.375,1498450,home,Kyleigh,Leia,Simon,772-86-6010,435-941-3595,Surgeon,16,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,1311 44TH STREET,3,10009,New York City,NY,1,0,0,2
LL0000132,1488000,2018-06-26,30,360,2.880000114440918,4.4790000915527344,4.4789999723434448E-2,7520.919921875,18,1352623.375,1635700,home,Rhett,Kade,Medley,959-93-0893,494-791-5654,Sr Vice President ,17,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,396 LEFFERTS AVENUE,3,10101,New York City,NY,1,0,0,2
LL0000133,1250000,2016-05-08,30,360,1.7899999618530273,3.3889999389648438,3.3890001475811005E-2,5535.89013671875,43,1011956.5625,1436650,investment property,Hannah,Jayleen,Walker,709-64-4899,279-782-6864,VP and GM Internet Services,3,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,52 BRIGHTON 1 PLACE,6,10199,New York City,NY,1,0,0,2
LL0000134,654500,2015-10-09,30,360,2.119999885559082,3.7190001010894775,3.7190001457929611E-2,3019.590087890625,50,503520.5,791750,commerical property,Elliot,Jake,Lane,762-90-2908,383-442-7964,Consultant,9,04 TAX CLASS 1 CONDOS                      ,1A,R3,1344 59TH   STREET,1,10171,New York City,NY,1,0,0,1
LL0000135,3216000,2017-01-22,30,360,2.4667999744415283,4.064000129699707,4.0640000253915787E-2,15472.5703125,35,2674460,3449700,commerical property,Edith,Priscilla,Montoya,367-95-6470,671-019-7724,RN,2,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,140 WEST STREET,11E,10005,New York City,NY,1,,,2
LL0000136,1580000,2017-07-11,30,360,2.3605000972747803,3.9590001106262207,3.9590001106262207E-2,7505.85986328125,29,1362330,1625200,home,Annika,Greta,Larsen,145-83-5030,741-268-9496,Senior Loan Officer,16,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,R1,1420 56TH STREET,4,10278,New York City,NY,1,0,0,2
LL0000137,1560000,2019-03-22,30,360,2.440000057220459,4.0380001068115234,4.0380001068115234E-2,7481.89013671875,9,1492663,1634250,commerical property,Jasper,Finley,Storey,155-28-7896,842-094-6297,Vice President,12,13 CONDOS - ELEVATOR APARTMENTS            ,2,R4,333 EAST 45TH   STREET,10C,10039,New York City,NY,1,,,2
LL0000138,1820000,2012-08-11,30,360,1.6499999761581421,3.247999906539917,3.2480001449584961E-2,7918.759765625,88,1123149.375,2134950,investment property,Harper,Charlotte,Lambert,464-81-7237,948-585-5925,Realtor,10,07 RENTALS - WALKUP APARTMENTS             ,2A,C2,121 DIKEMAN STREET,5,10006,New York City,NY,6,2400,3600,2
